English,Arabic,Categories,Frequency
reduce,,"Reading Comprehension, IT & Technology, Vocabulary",3
redundant,,Vocabulary,3
reference,,Reading Comprehension,3
refusal,,Vocabulary,3
refused,,Grammar,3
regular,,"Grammar, IT & Technology",3
reliance,,"Reading Comprehension, Vocabulary",3
remains,,"Reading Comprehension, Vocabulary, Grammar",3
represents,,"Reading Comprehension, Vocabulary",3
reputation,,Reading Comprehension,3
resign,,Grammar,3
resources,,IT & Technology,3
restaurant,,"Reading Comprehension, Vocabulary",3
resulted,,"Grammar, Reading Comprehension, Vocabulary",3
results,,"Reading Comprehension, Vocabulary",3
retrospective,,IT & Technology,3
risks,,"Grammar, Vocabulary",3
round,,Vocabulary,3
runs,,"Reading Comprehension, IT & Technology",3
scarcely,,Grammar,3
schedule,,Vocabulary,3
schedules,,Reading Comprehension,3
serverless,,Vocabulary,3
serves,,"Reading Comprehension, IT & Technology",3
seven,,Vocabulary,3
severity,,"Reading Comprehension, Grammar",3
shipped,,Reading Comprehension,3
shoes,,Vocabulary,3
shorts,,Vocabulary,3
shouldn,,Grammar,3
sick,,"Reading Comprehension, Vocabulary",3
six,,"Vocabulary, Grammar",3
smartphone,,"Grammar, Reading Comprehension, Vocabulary",3
smoking,,Reading Comprehension,3
snowing,,Vocabulary,3
solid,,"Vocabulary, IT & Technology",3
speaker,,"IT & Technology, Grammar",3
spite,,Grammar,3
stakeholders,,"IT & Technology, Grammar, Reading Comprehension",3
startled,,Grammar,3
stateful,,IT & Technology,3
statements,,"Reading Comprehension, Vocabulary",3
stored,,"Grammar, Vocabulary",3
stores,,IT & Technology,3
storing,,IT & Technology,3
straight,,"Vocabulary, Grammar",3
study,,"Grammar, Reading Comprehension",3
subtle,,"Vocabulary, Reading Comprehension, Grammar",3
successfully,,"Vocabulary, Grammar, Reading Comprehension",3
suggested,,Grammar,3
sunny,,Vocabulary,3
superficial,,"Reading Comprehension, Vocabulary",3
supermarket,,"Grammar, Reading Comprehension",3
sure,,"IT & Technology, Grammar",3
switch,,"IT & Technology, Vocabulary",3
synchronize,,IT & Technology,3
tape,,Vocabulary,3
task,,"Vocabulary, Grammar",3
technician,,Grammar,3
ten,,"Grammar, Vocabulary",3
terrible,,"Vocabulary, Reading Comprehension",3
thinking,,Reading Comprehension,3
thoughtful,,"Reading Comprehension, Vocabulary",3
tired,,Vocabulary,3
took,,"Vocabulary, Grammar",3
transport,,Vocabulary,3
triggers,,"Grammar, Vocabulary",3
trivial,,"IT & Technology, Vocabulary",3
turned,,"IT & Technology, Reading Comprehension",3
uncontrollable,,IT & Technology,3
unexpectedly,,"IT & Technology, Vocabulary, Grammar",3
unwilling,,Vocabulary,3
validity,,"Reading Comprehension, IT & Technology, Grammar",3
verify,,IT & Technology,3
views,,Vocabulary,3
virtually,,Vocabulary,3
vowel,,Grammar,3
warm,,Vocabulary,3
watches,,"Reading Comprehension, Grammar",3
waterfall,,IT & Technology,3
wednesday,,Vocabulary,3
window,,"Vocabulary, Reading Comprehension",3
windy,,Vocabulary,3
wireless,,"IT & Technology, Reading Comprehension",3
worn,,"Vocabulary, IT & Technology",3
wrote,,"IT & Technology, Grammar",3
yields,,IT & Technology,3
abandon,,Reading Comprehension,2
absorbed,,Grammar,2
academia,,"Vocabulary, Grammar",2
acceptable,,IT & Technology,2
accessed,,IT & Technology,2
accessories,,IT & Technology,2
accumulating,,IT & Technology,2
accuracy,,"IT & Technology, Reading Comprehension",2
accusing,,Vocabulary,2
acknowledged,,Reading Comprehension,2
actionable,,Vocabulary,2
activities,,IT & Technology,2
actors,,"Vocabulary, Grammar",2
additional,,IT & Technology,2
adequate,,Reading Comprehension,2
adherence,,Grammar,2
administration,,IT & Technology,2
administrators,,IT & Technology,2
admission,,Reading Comprehension,2
adopted,,IT & Technology,2
advantage,,Vocabulary,2
advent,,"Vocabulary, Grammar",2
adverbs,,"Vocabulary, Grammar",2
afterward,,Vocabulary,2
aggregate,,IT & Technology,2
agility,,Reading Comprehension,2
agreed,,Vocabulary,2
agreeing,,Vocabulary,2
agrees,,Vocabulary,2
alarms,,"Vocabulary, Grammar",2
alleviate,,Vocabulary,2
allocation,,Vocabulary,2
almost,,Vocabulary,2
altering,,IT & Technology,2
ancient,,Vocabulary,2
anything,,IT & Technology,2
apology,,Grammar,2
apostrophe,,Grammar,2
appearance,,Vocabulary,2
appearing,,"Vocabulary, Grammar",2
appears,,Vocabulary,2
approaches,,IT & Technology,2
approved,,"Grammar, Vocabulary",2
architect,,Grammar,2
architectural,,Reading Comprehension,2
arduous,,Vocabulary,2
arguably,,Grammar,2
arm,,Vocabulary,2
arrived,,Grammar,2
aspect,,Reading Comprehension,2
aspects,,Reading Comprehension,2
atomicity,,"IT & Technology, Grammar",2
atrophying,,Reading Comprehension,2
attempt,,"IT & Technology, Grammar",2
attempting,,Vocabulary,2
attitude,,Reading Comprehension,2
attribute,,Reading Comprehension,2
attributes,,IT & Technology,2
audio,,IT & Technology,2
automating,,"IT & Technology, Reading Comprehension",2
backlash,,Vocabulary,2
backups,,IT & Technology,2
bags,,Reading Comprehension,2
bakery,,Vocabulary,2
balancers,,Grammar,2
banana,,Grammar,2
beauty,,Vocabulary,2
behaving,,Vocabulary,2
believed,,Grammar,2
belonging,,Vocabulary,2
belongs,,"Reading Comprehension, Grammar",2
benign,,"Vocabulary, Grammar",2
biases,,Reading Comprehension,2
binary,,Reading Comprehension,2
blindly,,Vocabulary,2
block,,IT & Technology,2
blocked,,Grammar,2
blur,,Reading Comprehension,2
boot,,IT & Technology,2
bottlenecks,,IT & Technology,2
bought,,Grammar,2
boxed,,IT & Technology,2
brain,,IT & Technology,2
brilliant,,Reading Comprehension,2
bring,,Vocabulary,2
buildings,,Reading Comprehension,2
built,,"IT & Technology, Vocabulary",2
bullet,,Reading Comprehension,2
burden,,Reading Comprehension,2
bureaucratic,,Vocabulary,2
button,,IT & Technology,2
bypass,,Grammar,2
canary,,"IT & Technology, Reading Comprehension",2
capabilities,,Reading Comprehension,2
careful,,"Reading Comprehension, IT & Technology",2
cascading,,IT & Technology,2
castle,,IT & Technology,2
causal,,IT & Technology,2
censored,,Reading Comprehension,2
center,,Reading Comprehension,2
centers,,IT & Technology,2
challenging,,"Vocabulary, IT & Technology",2
chambers,,Reading Comprehension,2
chance,,IT & Technology,2
charge,,"Vocabulary, Reading Comprehension",2
cheap,,Vocabulary,2
chief,,Grammar,2
child,,Grammar,2
children,,Grammar,2
choosing,,IT & Technology,2
claim,,"IT & Technology, Reading Comprehension",2
clandestine,,"Vocabulary, Grammar",2
classic,,IT & Technology,2
clean,,Vocabulary,2
cleaning,,Vocabulary,2
cliches,,Vocabulary,2
clicking,,IT & Technology,2
clock,,Grammar,2
closed,,Reading Comprehension,2
closer,,IT & Technology,2
clothes,,Vocabulary,2
clouds,,Grammar,2
coat,,Vocabulary,2
coding,,Grammar,2
cognitive,,Reading Comprehension,2
collaborate,,Vocabulary,2
collapse,,"Grammar, IT & Technology",2
collect,,Vocabulary,2
colors,,"Vocabulary, Reading Comprehension",2
colossal,,Reading Comprehension,2
comb,,Vocabulary,2
combine,,IT & Technology,2
comes,,"Vocabulary, Reading Comprehension",2
commas,,Grammar,2
commercial,,"Vocabulary, Grammar",2
compare,,"Reading Comprehension, Grammar",2
comparing,,"Grammar, Reading Comprehension",2
competitive,,Vocabulary,2
compiled,,IT & Technology,2
compiler,,"Vocabulary, Grammar",2
complaints,,Grammar,2
complement,,Vocabulary,2
compliance,,IT & Technology,2
compliment,,Vocabulary,2
compromise,,IT & Technology,2
compromises,,IT & Technology,2
conceptual,,Vocabulary,2
conceptualize,,Vocabulary,2
concerned,,IT & Technology,2
concerns,,Vocabulary,2
concessive,,Grammar,2
concise,,Vocabulary,2
conducted,,Grammar,2
confidentiality,,IT & Technology,2
configured,,"IT & Technology, Grammar",2
confined,,"Vocabulary, Grammar",2
conflict,,Reading Comprehension,2
conflicting,,Vocabulary,2
conflicts,,IT & Technology,2
conspicuously,,Reading Comprehension,2
constantly,,Vocabulary,2
constrained,,Reading Comprehension,2
constructive,,Vocabulary,2
consumption,,IT & Technology,2
contact,,"IT & Technology, Reading Comprehension",2
containerization,,IT & Technology,2
containerized,,Vocabulary,2
containers,,Vocabulary,2
continuously,,IT & Technology,2
conveniently,,Reading Comprehension,2
corner,,Vocabulary,2
corners,,Vocabulary,2
correction,,Vocabulary,2
cousin,,Vocabulary,2
cow,,Vocabulary,2
cowardice,,Reading Comprehension,2
creates,,"IT & Technology, Vocabulary",2
creators,,Reading Comprehension,2
crippled,,Reading Comprehension,2
criticism,,Vocabulary,2
criticize,,Reading Comprehension,2
cryptosystem,,IT & Technology,2
ctrl,,IT & Technology,2
culture,,Reading Comprehension,2
cut,,Vocabulary,2
datasets,,"IT & Technology, Reading Comprehension",2
ddos,,Grammar,2
dead,,IT & Technology,2
dealing,,Grammar,2
debate,,Reading Comprehension,2
debugging,,"Grammar, IT & Technology",2
deceiving,,Vocabulary,2
decrease,,"Grammar, Vocabulary",2
defines,,Reading Comprehension,2
delight,,Reading Comprehension,2
demanded,,"Reading Comprehension, IT & Technology",2
demilitarized,,IT & Technology,2
democratized,,Reading Comprehension,2
deployable,,"Vocabulary, IT & Technology",2
deployed,,"Reading Comprehension, Grammar",2
deployments,,IT & Technology,2
desktops,,"Vocabulary, Grammar",2
destination,,IT & Technology,2
destroyed,,Vocabulary,2
detail,,"Reading Comprehension, IT & Technology",2
diary,,Grammar,2
didactic,,Vocabulary,2
difficult,,"Vocabulary, Reading Comprehension",2
digital,,IT & Technology,2
directions,,Vocabulary,2
disadvantages,,Reading Comprehension,2
disappointing,,Reading Comprehension,2
discordant,,Vocabulary,2
discourse,,Reading Comprehension,2
discovery,,IT & Technology,2
discredit,,Reading Comprehension,2
discuss,,"IT & Technology, Vocabulary",2
displaces,,Reading Comprehension,2
disputes,,Vocabulary,2
disruption,,Reading Comprehension,2
division,,Vocabulary,2
docker,,Vocabulary,2
documentation,,"Grammar, Vocabulary",2
doors,,Reading Comprehension,2
downloading,,IT & Technology,2
drawback,,Reading Comprehension,2
dream,,Vocabulary,2
drinks,,Vocabulary,2
drives,,Reading Comprehension,2
drum,,Vocabulary,2
durability,,"IT & Technology, Grammar",2
earlier,,Grammar,2
echo,,Reading Comprehension,2
effort,,Vocabulary,2
eight,,Vocabulary,2
electrical,,Reading Comprehension,2
electromagnetic,,IT & Technology,2
elegant,,Vocabulary,2
element,,Grammar,2
elements,,Vocabulary,2
elevators,,Reading Comprehension,2
eliminates,,Reading Comprehension,2
eloquent,,Vocabulary,2
embedded,,"Vocabulary, Grammar",2
embrace,,Reading Comprehension,2
emergency,,"Vocabulary, Grammar",2
emphasized,,Grammar,2
employ,,IT & Technology,2
employed,,"IT & Technology, Reading Comprehension",2
employing,,Vocabulary,2
employs,,IT & Technology,2
endeavor,,Vocabulary,2
endure,,Reading Comprehension,2
engage,,Reading Comprehension,2
enhance,,"Reading Comprehension, IT & Technology",2
enjoy,,Grammar,2
ensures,,IT & Technology,2
enter,,IT & Technology,2
entities,,Reading Comprehension,2
equation,,Vocabulary,2
era,,"Vocabulary, Grammar",2
everywhere,,"Vocabulary, Grammar",2
evolution,,Vocabulary,2
exactly,,"IT & Technology, Vocabulary",2
exceeded,,Grammar,2
except,,Reading Comprehension,2
excited,,Vocabulary,2
executive,,Grammar,2
exfiltrating,,"Vocabulary, Grammar",2
exhibited,,Grammar,2
expected,,"Grammar, IT & Technology",2
expedition,,Vocabulary,2
experiencing,,Grammar,2
explain,,Reading Comprehension,2
expressed,,IT & Technology,2
expressions,,Grammar,2
fabric,,"Vocabulary, Grammar",2
faced,,Vocabulary,2
facing,,Grammar,2
facts,,Vocabulary,2
fallacious,,Vocabulary,2
family,,Vocabulary,2
farm,,Vocabulary,2
feedback,,Vocabulary,2
feeling,,"Grammar, Vocabulary",2
feelings,,"Reading Comprehension, Vocabulary",2
fifteen,,"Grammar, Vocabulary",2
figure,,Vocabulary,2
fiscal,,Grammar,2
fit,,IT & Technology,2
fixes,,"IT & Technology, Reading Comprehension",2
flattering,,Vocabulary,2
flight,,Vocabulary,2
flow,,"Vocabulary, IT & Technology",2
forced,,Grammar,2
forces,,Vocabulary,2
forgetting,,Reading Comprehension,2
formed,,"Reading Comprehension, Grammar",2
fortuitous,,IT & Technology,2
foundational,,IT & Technology,2
frank,,Reading Comprehension,2
fraudulent,,IT & Technology,2
free,,"Reading Comprehension, Vocabulary",2
freezes,,IT & Technology,2
front,,Reading Comprehension,2
fully,,"Reading Comprehension, Vocabulary",2
functionalities,,"IT & Technology, Reading Comprehension",2
gained,,IT & Technology,2
games,,"Grammar, Reading Comprehension",2
garage,,Vocabulary,2
gateway,,Reading Comprehension,2
generalizability,,Reading Comprehension,2
generalized,,Vocabulary,2
genuinely,,Reading Comprehension,2
git,,IT & Technology,2
google,,IT & Technology,2
governed,,Vocabulary,2
gradual,,"Vocabulary, Grammar",2
grammatical,,Grammar,2
groundbreaking,,Vocabulary,2
grow,,IT & Technology,2
grows,,IT & Technology,2
guidelines,,"Grammar, Vocabulary",2
hackers,,IT & Technology,2
handling,,"Grammar, Reading Comprehension",2
happening,,"Reading Comprehension, Grammar",2
harder,,"Grammar, IT & Technology",2
hardly,,Grammar,2
harsh,,Vocabulary,2
haskell,,"Vocabulary, Grammar",2
headphones,,IT & Technology,2
heavily,,Vocabulary,2
hello,,"Grammar, Reading Comprehension",2
herald,,Reading Comprehension,2
hires,,Vocabulary,2
historically,,Vocabulary,2
honest,,Grammar,2
honesty,,Reading Comprehension,2
horizontally,,IT & Technology,2
hover,,Vocabulary,2
humans,,Reading Comprehension,2
hungry,,Vocabulary,2
hurry,,Grammar,2
hypothetical,,Grammar,2
iac,,IT & Technology,2
identifies,,"Grammar, IT & Technology",2
identifying,,"Grammar, IT & Technology",2
idiomatic,,Grammar,2
idiosyncrasies,,Vocabulary,2
idiosyncratic,,Vocabulary,2
immutability,,Reading Comprehension,2
impact,,Reading Comprehension,2
impacts,,"IT & Technology, Reading Comprehension",2
impersonal,,Grammar,2
implications,,"Grammar, Reading Comprehension",2
implied,,IT & Technology,2
imply,,"Reading Comprehension, Grammar",2
implying,,Reading Comprehension,2
improvements,,Reading Comprehension,2
inbox,,IT & Technology,2
includes,,"IT & Technology, Reading Comprehension",2
increased,,Reading Comprehension,2
index,,IT & Technology,2
influx,,IT & Technology,2
informally,,IT & Technology,2
inherit,,Reading Comprehension,2
inputs,,Grammar,2
insecure,,Reading Comprehension,2
insider,,Grammar,2
insidious,,"Vocabulary, Grammar",2
insistence,,Grammar,2
insofar,,Grammar,2
installation,,Vocabulary,2
instantiate,,"Vocabulary, Grammar",2
instantly,,"Grammar, IT & Technology",2
instruction,,Reading Comprehension,2
instructs,,Reading Comprehension,2
interpretation,,Vocabulary,2
interpreted,,Vocabulary,2
interrupted,,Grammar,2
invent,,Vocabulary,2
isolate,,"IT & Technology, Vocabulary",2
item,,Vocabulary,2
johns,,Grammar,2
join,,Vocabulary,2
labyrinthine,,Vocabulary,2
laconic,,Vocabulary,2
languages,,"Vocabulary, Grammar",2
largely,,Reading Comprehension,2
larger,,IT & Technology,2
later,,Vocabulary,2
latest,,"IT & Technology, Grammar",2
lay,,"Vocabulary, Grammar",2
layered,,Vocabulary,2
layout,,"Vocabulary, IT & Technology",2
leadership,,Grammar,2
leaks,,IT & Technology,2
least,,Reading Comprehension,2
leg,,Vocabulary,2
legally,,"IT & Technology, Reading Comprehension",2
licensing,,"Reading Comprehension, IT & Technology",2
lies,,Vocabulary,2
limitation,,Reading Comprehension,2
link,,IT & Technology,2
linked,,"IT & Technology, Vocabulary",2
literally,,Vocabulary,2
little,,Vocabulary,2
loading,,Reading Comprehension,2
lock,,IT & Technology,2
logged,,Grammar,2
looked,,Vocabulary,2
looking,,IT & Technology,2
luddite,,Vocabulary,2
luddites,,Vocabulary,2
lunch,,"Grammar, Vocabulary",2
mainframe,,Vocabulary,2
mandative,,Grammar,2
mandatory,,"Grammar, IT & Technology",2
marginal,,Grammar,2
marked,,"Grammar, Vocabulary",2
master,,IT & Technology,2
matches,,Vocabulary,2
material,,Vocabulary,2
maximum,,"Vocabulary, IT & Technology",2
mechanisms,,"Reading Comprehension, IT & Technology",2
media,,"Reading Comprehension, IT & Technology",2
meetings,,Vocabulary,2
menus,,"Vocabulary, Reading Comprehension",2
mesh,,IT & Technology,2
metaphor,,IT & Technology,2
metaphorical,,Vocabulary,2
metaphorically,,Vocabulary,2
methodical,,IT & Technology,2
million,,Vocabulary,2
misleading,,Reading Comprehension,2
misplaced,,Reading Comprehension,2
miss,,Grammar,2
misunderstanding,,"Vocabulary, Reading Comprehension",2
misunderstood,,Vocabulary,2
moat,,IT & Technology,2
mode,,Reading Comprehension,2
modest,,Grammar,2
modification,,"Reading Comprehension, IT & Technology",2
mondays,,Reading Comprehension,2
monitors,,Grammar,2
moral,,Reading Comprehension,2
mountain,,Vocabulary,2
moved,,Reading Comprehension,2
movement,,Grammar,2
movies,,Vocabulary,2
natural,,Vocabulary,2
necessary,,"Grammar, Reading Comprehension",2
neither,,Grammar,2
neural,,Vocabulary,2
newer,,Grammar,2
news,,Reading Comprehension,2
niche,,"Vocabulary, Grammar",2
night,,Grammar,2
nominalization,,"Grammar, Vocabulary",2
notation,,IT & Technology,2
noting,,Reading Comprehension,2
objects,,Vocabulary,2
obsequious,,Vocabulary,2
obviously,,Reading Comprehension,2
offensive,,Reading Comprehension,2
officer,,Grammar,2
omitting,,Reading Comprehension,2
online,,"Grammar, Reading Comprehension",2
opposed,,Vocabulary,2
optimism,,Reading Comprehension,2
optimistic,,Reading Comprehension,2
organizations,,IT & Technology,2
ourselves,,Reading Comprehension,2
outages,,IT & Technology,2
outcome,,Grammar,2
output,,"IT & Technology, Reading Comprehension",2
overfitting,,IT & Technology,2
overhauled,,Grammar,2
overhead,,Vocabulary,2
owner,,IT & Technology,2
owns,,Grammar,2
pain,,Vocabulary,2
pair,,Vocabulary,2
panaceas,,Vocabulary,2
panicked,,Vocabulary,2
pantheon,,Vocabulary,2
paradox,,Vocabulary,2
paragon,,Vocabulary,2
parties,,IT & Technology,2
passport,,Vocabulary,2
passwords,,"IT & Technology, Grammar",2
patching,,Reading Comprehension,2
paying,,Vocabulary,2
performs,,IT & Technology,2
perimeter,,IT & Technology,2
perimeters,,IT & Technology,2
peripherals,,IT & Technology,2
persistent,,Vocabulary,2
pervasive,,"Vocabulary, Grammar",2
physics,,Reading Comprehension,2
pieces,,"IT & Technology, Reading Comprehension",2
pilot,,Vocabulary,2
pipe,,Vocabulary,2
placate,,Vocabulary,2
placed,,Reading Comprehension,2
placing,,Grammar,2
plain,,"Grammar, Vocabulary",2
plans,,"Grammar, Vocabulary",2
played,,Grammar,2
plays,,"Reading Comprehension, Grammar",2
plug,,IT & Technology,2
political,,Vocabulary,2
politics,,Vocabulary,2
polymaths,,Vocabulary,2
poorly,,"Reading Comprehension, IT & Technology",2
portrayed,,Vocabulary,2
poses,,Reading Comprehension,2
possession,,Grammar,2
powerful,,"Vocabulary, Grammar",2
practices,,"Reading Comprehension, IT & Technology",2
precedents,,Reading Comprehension,2
premises,,Vocabulary,2
presentation,,"Grammar, IT & Technology",2
pressing,,"Reading Comprehension, IT & Technology",2
prices,,"Vocabulary, Grammar",2
principle,,IT & Technology,2
principles,,Reading Comprehension,2
print,,IT & Technology,2
proactively,,IT & Technology,2
problems,,"Grammar, IT & Technology",2
procurement,,Vocabulary,2
productivity,,"Reading Comprehension, IT & Technology",2
products,,"IT & Technology, Reading Comprehension",2
professions,,Vocabulary,2
proliferate,,Vocabulary,2
promoted,,"IT & Technology, Grammar",2
protocols,,IT & Technology,2
provider,,IT & Technology,2
punctuation,,Grammar,2
purposes,,Vocabulary,2
qubits,,Reading Comprehension,2
query,,IT & Technology,2
raised,,Vocabulary,2
ram,,IT & Technology,2
ransom,,IT & Technology,2
reach,,"IT & Technology, Vocabulary",2
reader,,Reading Comprehension,2
ready,,IT & Technology,2
really,,"Vocabulary, Grammar",2
reasoning,,Vocabulary,2
receipt,,Vocabulary,2
received,,Grammar,2
recognized,,Grammar,2
record,,IT & Technology,2
recovery,,"Grammar, IT & Technology",2
refactoring,,IT & Technology,2
registry,,"Vocabulary, Grammar",2
regression,,IT & Technology,2
regressions,,Reading Comprehension,2
regret,,Grammar,2
regularly,,IT & Technology,2
regulation,,Vocabulary,2
regulatory,,Vocabulary,2
regurgitates,,Reading Comprehension,2
reimagining,,Grammar,2
relationship,,Reading Comprehension,2
relationships,,Vocabulary,2
released,,"Grammar, IT & Technology",2
relentless,,Reading Comprehension,2
reliable,,Vocabulary,2
rely,,Vocabulary,2
remarks,,Vocabulary,2
remove,,IT & Technology,2
removes,,Reading Comprehension,2
rendered,,Vocabulary,2
repackaged,,Reading Comprehension,2
replicate,,Reading Comprehension,2
replicates,,Reading Comprehension,2
replication,,IT & Technology,2
requests,,"Vocabulary, IT & Technology",2
requirements,,IT & Technology,2
resist,,Vocabulary,2
response,,"Reading Comprehension, IT & Technology",2
responses,,Vocabulary,2
restaurants,,Vocabulary,2
resting,,Grammar,2
restructuring,,"Vocabulary, IT & Technology",2
reverse,,IT & Technology,2
reviewed,,"IT & Technology, Grammar",2
rework,,IT & Technology,2
roles,,IT & Technology,2
rooted,,Reading Comprehension,2
rotates,,Grammar,2
rotating,,Grammar,2
router,,IT & Technology,2
runtime,,IT & Technology,2
saas,,IT & Technology,2
sacrifices,,Reading Comprehension,2
safely,,"IT & Technology, Reading Comprehension",2
sandals,,Vocabulary,2
saving,,IT & Technology,2
scalable,,Grammar,2
scale,,IT & Technology,2
scathing,,Reading Comprehension,2
scheduled,,Reading Comprehension,2
scientific,,Reading Comprehension,2
scientists,,IT & Technology,2
score,,Vocabulary,2
scripting,,IT & Technology,2
seamlessly,,"IT & Technology, Grammar",2
seatbelt,,Grammar,2
seats,,Reading Comprehension,2
section,,Reading Comprehension,2
securely,,"IT & Technology, Grammar",2
seeks,,IT & Technology,2
seen,,Reading Comprehension,2
selected,,IT & Technology,2
selective,,Reading Comprehension,2
sensors,,"Vocabulary, Grammar",2
separates,,IT & Technology,2
serendipity,,IT & Technology,2
serialization,,IT & Technology,2
sessions,,IT & Technology,2
shards,,IT & Technology,2
shareholders,,Reading Comprehension,2
sharing,,IT & Technology,2
sheer,,Grammar,2
shifting,,Grammar,2
silver,,Reading Comprehension,2
simply,,"Vocabulary, Grammar",2
site,,"Grammar, IT & Technology",2
situations,,Grammar,2
skeptics,,Reading Comprehension,2
skill,,"Grammar, Vocabulary",2
sky,,Vocabulary,2
slightly,,Reading Comprehension,2
smart,,"Vocabulary, Grammar",2
someone,,"Grammar, Vocabulary",2
somewhat,,"Vocabulary, Grammar",2
somewhere,,Reading Comprehension,2
sounds,,Vocabulary,2
speakers,,IT & Technology,2
specialized,,"Vocabulary, Grammar",2
spin,,Vocabulary,2
spoofing,,IT & Technology,2
sports,,Vocabulary,2
spread,,IT & Technology,2
spun,,Vocabulary,2
standards,,Vocabulary,2
startling,,Grammar,2
stateless,,Vocabulary,2
station,,Vocabulary,2
statistical,,Reading Comprehension,2
stealthy,,"Vocabulary, Grammar",2
steps,,Vocabulary,2
stochastic,,IT & Technology,2
stomach,,Vocabulary,2
stronger,,Grammar,2
structures,,IT & Technology,2
struggles,,Reading Comprehension,2
stubborn,,Vocabulary,2
studies,,Reading Comprehension,2
stuffing,,Grammar,2
stumbled,,IT & Technology,2
subjects,,Grammar,2
subsequent,,Reading Comprehension,2
subsidies,,Reading Comprehension,2
substantial,,"Vocabulary, IT & Technology",2
substantive,,Reading Comprehension,2
suggestion,,Grammar,2
sun,,Grammar,2
sunglasses,,Grammar,2
supportive,,Reading Comprehension,2
surface,,Grammar,2
surprised,,Reading Comprehension,2
suspicious,,IT & Technology,2
swipe,,Vocabulary,2
sycophants,,Vocabulary,2
tablet,,"IT & Technology, Grammar",2
technologies,,IT & Technology,2
telling,,Vocabulary,2
temporarily,,"IT & Technology, Reading Comprehension",2
temporary,,Vocabulary,2
test,,"IT & Technology, Reading Comprehension",2
testament,,Reading Comprehension,2
theft,,Reading Comprehension,2
theoretical,,IT & Technology,2
thereby,,IT & Technology,2
thirsty,,Vocabulary,2
thorough,,"Vocabulary, Reading Comprehension",2
threats,,IT & Technology,2
ticket,,IT & Technology,2
timeout,,Reading Comprehension,2
timezone,,Reading Comprehension,2
tls,,Grammar,2
told,,"Reading Comprehension, Grammar",2
tonight,,Reading Comprehension,2
tool,,IT & Technology,2
topology,,IT & Technology,2
total,,Grammar,2
touted,,Reading Comprehension,2
traces,,IT & Technology,2
trade,,Reading Comprehension,2
trained,,"Grammar, Reading Comprehension",2
transactional,,IT & Technology,2
transmission,,IT & Technology,2
transparent,,Reading Comprehension,2
transportation,,Vocabulary,2
treating,,IT & Technology,2
trials,,Reading Comprehension,2
trick,,IT & Technology,2
truer,,Grammar,2
trying,,IT & Technology,2
turing,,IT & Technology,2
typing,,IT & Technology,2
unanimous,,Vocabulary,2
unavailable,,"Vocabulary, Reading Comprehension",2
unbreakable,,Vocabulary,2
undergo,,Vocabulary,2
underscore,,Reading Comprehension,2
understood,,"Vocabulary, Grammar",2
unfair,,Reading Comprehension,2
unified,,"Reading Comprehension, Vocabulary",2
unique,,IT & Technology,2
uniquely,,IT & Technology,2
unless,,"Grammar, IT & Technology",2
unlock,,Reading Comprehension,2
unsatisfactory,,"Vocabulary, Grammar",2
updating,,Grammar,2
upgrading,,"IT & Technology, Grammar",2
uploading,,IT & Technology,2
urgency,,Grammar,2
utc,,Reading Comprehension,2
utility,,Vocabulary,2
valuable,,Reading Comprehension,2
victim,,IT & Technology,2
virtue,,Grammar,2
visible,,Reading Comprehension,2
visionaries,,Vocabulary,2
visit,,"IT & Technology, Reading Comprehension",2
visually,,"IT & Technology, Vocabulary",2
volatile,,IT & Technology,2
voltage,,Reading Comprehension,2
walked,,Reading Comprehension,2
wall,,Reading Comprehension,2
warns,,Reading Comprehension,2
watched,,Grammar,2
weaknesses,,IT & Technology,2
weren,,Grammar,2
whatever,,Grammar,2
whether,,Vocabulary,2
wide,,"IT & Technology, Vocabulary",2
wiped,,Grammar,2
wires,,Reading Comprehension,2
withdraw,,Vocabulary,2
wood,,Vocabulary,2
workplace,,Reading Comprehension,2
workstations,,"IT & Technology, Grammar",2
worth,,Reading Comprehension,2
abilities,,Grammar,1
absence,,Reading Comprehension,1
absent,,Reading Comprehension,1
absolute,,Grammar,1
accelerate,,Vocabulary,1
accept,,Vocabulary,1
acceptance,,IT & Technology,1
accessibility,,IT & Technology,1
accessing,,IT & Technology,1
accidental,,Reading Comprehension,1
accidentally,,IT & Technology,1
acclaim,,Reading Comprehension,1
accumulated,,Reading Comprehension,1
achieved,,Reading Comprehension,1
acknowledges,,Reading Comprehension,1
acquired,,Vocabulary,1
acquisition,,Vocabulary,1
acting,,IT & Technology,1
active,,IT & Technology,1
actively,,Vocabulary,1
activity,,Vocabulary,1
actual,,Reading Comprehension,1
addresses,,IT & Technology,1
addressing,,IT & Technology,1
adds,,Reading Comprehension,1
administrative,,Grammar,1
adversary,,IT & Technology,1
adversely,,IT & Technology,1
advocate,,Reading Comprehension,1
adware,,IT & Technology,1
affected,,IT & Technology,1
affecting,,Vocabulary,1
afternoons,,Reading Comprehension,1
agency,,Grammar,1
agent,,Grammar,1
aggressive,,Reading Comprehension,1
agreements,,Reading Comprehension,1
ahead,,Vocabulary,1
aimed,,IT & Technology,1
air,,Vocabulary,1
algorithmic,,Reading Comprehension,1
aligns,,Reading Comprehension,1
allegations,,Grammar,1
alternative,,Reading Comprehension,1
alters,,IT & Technology,1
ambivalent,,Reading Comprehension,1
ameliorating,,IT & Technology,1
american,,Vocabulary,1
